# z  nz0_0 nz1_0 nz2_0 nz3_0 nz4_0
9.798994974874370989e-01 7.334018124961396366e-12 2.392408242115501207e-03 1.682584036105599701e+00 1.486341867618979462e+00 8.997856061446205585e-04
9.949748743718592747e-01 1.665476814381636637e-12 1.265258387413263370e-03 1.469886121283878966e+00 1.650942639895939923e+00 1.398297221136519638e-03
1.010050251256281451e+00 3.627310634724482176e-13 6.497663175923668738e-04 1.264550872847310048e+00 1.807178350754206297e+00 2.140514799305329001e-03
1.025125628140703515e+00 7.576366227084507411e-14 3.239756878470916772e-04 1.070694546395851043e+00 1.951007074761793136e+00 3.227886503143664008e-03
1.040201005025125580e+00 1.517571369214650468e-14 1.568171494029096534e-04 8.916943913690565937e-01 2.079016519955499298e+00 4.795394806728804117e-03
1.055276381909547645e+00 2.914958927387219450e-15 7.368075720061802907e-05 7.300430246111008215e-01 2.188600952029002844e+00 7.018808138441260704e-03
1.070351758793969710e+00 5.369023439586610848e-16 3.360096739736798588e-05 5.872748251823404209e-01 2.278052473715824533e+00 1.012195113730680537e-02
1.085427135678391997e+00 9.482507871559828447e-17 1.487127764992709445e-05 4.639716155077841520e-01 2.346563094932386129e+00 1.438329279928489760e-02
1.100502512562814061e+00 1.605841640024235364e-17 6.387172417835307276e-06 3.598428022197530107e-01 2.394146191175390737e+00 2.014093345385142494e-02
1.115577889447236126e+00 2.607481934923526404e-18 2.661956690291136135e-06 2.738651321103313663e-01 2.421495781670747860e+00 2.779488553386853800e-02
1.130653266331658191e+00 4.059451719021898625e-19 1.076455809498321642e-06 2.044608069083907187e-01 2.429808143108051599e+00 3.780543033764157540e-02
1.145728643216080256e+00 6.059407338660527534e-20 4.223452997247462319e-07 1.496904946901954636e-01 2.420592036633747224e+00 5.068633781457168586e-02
1.160804020100502543e+00 8.671607206149861341e-21 1.607647958816254500e-07 1.074394774565901184e-01 2.395491549054996838e+00 6.699189987697258541e-02
1.175879396984924607e+00 1.189779348709593123e-21 5.936680341017621910e-08 7.557980671329254940e-02 2.356140191692968511e+00 8.729707885956911051e-02
1.190954773869346672e+00 1.565027585392674448e-22 2.126694957269740993e-08 5.209756955348820301e-02 2.304057793571912427e+00 1.121706192320447715e-01
1.206030150753768737e+00 1.973596133283456450e-23 7.390206811653902882e-09 3.518084623318838006e-02 2.240594250096069384e+00 1.421416909313230337e-01
1.221105527638190802e+00 2.385985722024359471e-24 2.491037912147708811e-09 2.326956863256773173e-02 2.166917505352240703e+00 1.776614711650708334e-01
1.236180904522613089e+00 2.765309458621417367e-25 8.144421901901118168e-10 1.507257912365430642e-02 2.084038036804635396e+00 2.190619393739265952e-01
1.251256281407035154e+00 3.072412692768851622e-26 2.582744189786849792e-10 9.559496039799145542e-03 1.992858933762130302e+00 2.665149422874814045e-01
1.266331658291457218e+00 3.272421969948967136e-27 7.943827989641051900e-11 5.935644897020352431e-03 1.894239405277027499e+00 3.199951556431895328e-01
1.281407035175879283e+00 3.341238168155756878e-28 2.369696120117730734e-11 3.607690460995290321e-03 1.789059950359983331e+00 3.792508064082228403e-01
1.296482412060301348e+00 3.270309020576431405e-29 6.855795089396200806e-12 2.146184689703931319e-03 1.678279069686537950e+00 4.437858336651838154e-01
1.311557788944723635e+00 3.068376001934643270e-30 1.923597017178997112e-12 1.249493374940852195e-03 1.562973857551455792e+00 5.128565167059733199e-01
1.326633165829145700e+00 2.759702890318866321e-31 5.234207303553536029e-13 7.118467817748529982e-04 1.444359684852184245e+00 5.854845085347810674e-01
1.341708542713567764e+00 2.379281877034831596e-32 1.381205835040237285e-13 3.968123100834647864e-04 1.323787132346293083e+00 6.604867742520736940e-01
1.356783919597989829e+00 1.966325551239639588e-33 3.534493842705028488e-14 2.164180312936814731e-04 1.202717090545728729e+00 7.365213011129591036e-01
1.371859296482411894e+00 1.557712538641782283e-34 8.770989446392897481e-15 1.154723709785247907e-04 1.082677300008669796e+00 8.121458179256019205e-01
1.386934673366834181e+00 1.182873313444433381e-35 2.110639867641185139e-15 6.027100044349083810e-05 9.652054057722998515e-01 8.858853479266682873e-01
1.402010050251256246e+00 8.610037959908739010e-37 4.925110104279640477e-16 3.077203205207325152e-05 8.517847332697413565e-01 9.563034146808042646e-01
1.417085427135678311e+00 6.007377395891161709e-38 1.114413705266626133e-16 1.536722342029073543e-05 7.437794053477682077e-01 1.022071267620952462e+00
1.432160804020100375e+00 4.017677622917852479e-39 2.445110004211583315e-17 7.505888194678155489e-06 6.423751183894592653e-01 1.082029660279207439e+00
1.447236180904522662e+00 2.575568257229837773e-40 5.201934423770726121e-18 3.585535774071835362e-06 5.485309552091736096e-01 1.135238480728786081e+00
1.462311557788944727e+00 1.582619486857271446e-41 1.073097467174653177e-18 1.675061664612646774e-06 4.629461732645465122e-01 1.181010796763650728e+00
1.477386934673366792e+00 9.321444977189872889e-43 2.146420640352347597e-19 7.652675706155881783e-07 3.860441598078608871e-01 1.218929467408852441e+00
1.492462311557788857e+00 5.262489307278063077e-44 4.162800696048190332e-20 3.418880898632162024e-07 3.179739093659240123e-01 1.248846178208008251e+00
1.507537688442210921e+00 2.847728447752169233e-45 7.827903177512303707e-21 1.493572910287045722e-07 2.586276699908840460e-01 1.270864365948751074e+00
1.522613065326633208e+00 1.477078299993977255e-46 1.427211723976123159e-21 6.380070461913943586e-08 2.076720082156516822e-01 1.285308822232550163e+00
1.537688442211055273e+00 7.343522247143048346e-48 2.522950488792293673e-22 2.664814405385142098e-08 1.645885883373645053e-01 1.292685671327422181e+00
1.552763819095477338e+00 3.499449517276948763e-49 4.324150234458545899e-23 1.088272684437550637e-08 1.287205099644035400e-01 1.293636841477498800e+00
1.567839195979899403e+00 1.598409471467208520e-50 7.185533491811363293e-24 4.345357100417549070e-09 9.932008787533926075e-02 1.288893096814131445e+00
1.582914572864321467e+00 6.997904636605720370e-52 1.157652028121512238e-24 1.696362763669238588e-09 7.559441763420664262e-02 1.279229237569223132e+00
1.597989949748743754e+00 2.936556904972259386e-53 1.808225144668961366e-25 6.474508231977699286e-10 5.674583306451864984e-02 1.265424321557262477e+00
1.613065326633165819e+00 1.181131072387522447e-54 2.738275746701393091e-26 2.415903694755982878e-10 4.200529072402896941e-02 1.248228843258969656e+00
1.628140703517587884e+00 4.553506569626688777e-56 4.020193027482053228e-27 8.813082504815517395e-11 3.065767679184177100e-02 1.228339860512858595e+00
1.643216080402009949e+00 1.682600602794827724e-57 5.722115263297671494e-28 3.142987409427903470e-11 2.205890853568197654e-02 1.206384195260440162e+00
1.658291457286432014e+00 5.959397896923092292e-59 7.895893101656843629e-29 1.095760840315506808e-11 1.564541369256065503e-02 1.182909134513329130e+00
1.673366834170854300e+00 2.023061720924479126e-60 1.056272432675163464e-29 3.734560332338794436e-12 1.093707219773394634e-02 1.158379564344191426e+00
1.688442211055276365e+00 6.582645764495359880e-62 1.369858765558830498e-30 1.244246575588286486e-12 7.534987087110250371e-03 1.133180191683887506e+00
1.703517587939698430e+00 2.052937335565230763e-63 1.722249265056858593e-31 4.052376827553928553e-13 5.115535449757781412e-03 1.107621425943507765e+00
1.718592964824120495e+00 6.136688291519996977e-65 2.099093897038599967e-32 1.290158604816674148e-13 3.422075808697183120e-03 1.081947565790008392e+00
1.733668341708542560e+00 1.758227039396530255e-66 2.480154371085769561e-33 4.015135172759406813e-14 2.255504279243899460e-03 1.056346117529639583e+00
1.748743718592964846e+00 4.828339145506603547e-68 2.840743156310679811e-34 1.221448708159892554e-14 1.464607567616950119e-03 1.030957311991623770e+00
1.763819095477386911e+00 1.270872404076686143e-69 3.154184742884512974e-35 3.632141921623837375e-15 9.368992138673269948e-04 1.005883144341809254e+00
1.778894472361808976e+00 3.206173257961581804e-71 3.394999818483558442e-36 1.055741742388701937e-15 5.903790742528132419e-04 9.811955037819948267e-01
1.793969849246231041e+00 7.752689787470649490e-73 3.542301335348509804e-37 2.999541957838260566e-16 3.664459603814955945e-04 9.569431668544395864e-01
1.809045226130653106e+00 1.796791844647586002e-74 3.582779636822384377e-38 8.330092969886871621e-17 2.240299091108629984e-04 9.331575889305846472e-01
1.824120603015075393e+00 3.991376208666362770e-76 3.512686158320939839e-39 2.261194541953663214e-17 1.348953370134476683e-04 9.098575418540346682e-01
1.839195979899497457e+00 8.498195561401554523e-78 3.338406026096139678e-40 5.999497765519913353e-18 7.999484596012068703e-05 8.870527160493467678e-01
1.854271356783919522e+00 1.734241564766532854e-79 3.075498358020912201e-41 1.555881975307975030e-18 4.671773997586639593e-05 8.647464405267416554e-01
1.869346733668341587e+00 3.392118020503052498e-81 2.746404196891752357e-42 3.943839723618169147e-19 2.686818005146681960e-05 8.429376831712352969e-01
1.884422110552763652e+00 6.359317606910050831e-83 2.377290112636228867e-43 9.770998354609292665e-20 1.521648274061400951e-05 8.216224852235117782e-01
1.899497487437185939e+00 1.142688887723093731e-84 1.994641945560426556e-44 2.366094367871940114e-20 8.485822709324595129e-06 8.007949653580174187e-01
1.914572864321608003e+00 1.967991275424789128e-86 1.622217558555571435e-45 5.600091376350413376e-21 4.659746492364528384e-06 7.804480059329260699e-01
1.929648241206030068e+00 3.248596557980540893e-88 1.278824901083745461e-46 1.295462076327532511e-21 2.519446772725469970e-06 7.605737107624152005e-01
1.944723618090452133e+00 5.139792965626057467e-90 9.771639896427313403e-48 2.928987705018902576e-22 1.341248872290691762e-06 7.411637025417152635e-01
1.959798994974874198e+00 7.794217344214768014e-92 7.237271299001937209e-49 6.472476174195483692e-23 7.030113211371936824e-07 7.222093100351306694e-01
1.974874371859296485e+00 1.132860047323563603e-93 5.195532027957396957e-50 1.397913632291558615e-23 3.627874198909785411e-07 7.037016806669823543e-01
1.989949748743718549e+00 1.578180628684304997e-95 3.615179110118159425e-51 2.950829854306358364e-24 1.843180657700655985e-07 6.856318430587136081e-01
2.005025125628140614e+00 2.107238561656884152e-97 2.438210375814618020e-52 6.087780706877083376e-25 9.219318347638980463e-08 6.679907358793344407e-01
2.020100502512562901e+00 2.696789906428308213e-99 1.593863553439879547e-53 1.227501280170325970e-25 4.539781355253122220e-08 6.507692135684907120e-01
2.035175879396984744e+00 3.307933801147403862e-101 1.009873223792315360e-54 2.418968481958153843e-26 2.200730160669826705e-08 6.339580355101691600e-01
2.050251256281407031e+00 3.889042398943185223e-103 6.201768785822311309e-56 4.658874399047127547e-27 1.050232336061510955e-08 6.175478426086614681e-01
2.065326633165828873e+00 4.382325317654798351e-105 3.691429871593100621e-57 8.769435033044790131e-28 4.933806997735223551e-09 6.015291235675719328e-01
2.080402010050251160e+00 4.733065582988482383e-107 2.129616734334973874e-58 1.613241468954145966e-28 2.281649738838580470e-09 5.858921722105113750e-01
2.095477386934673447e+00 4.899551378521605772e-109 1.190785648913256948e-59 2.900425128426220374e-29 1.038671230184542124e-09 5.706270367024822709e-01
2.110552763819095290e+00 4.861227170331329641e-111 6.453401363275532070e-61 5.096310370900361797e-30 4.654383474035151491e-10 5.557234613915809085e-01
2.125628140703517577e+00 4.622865429635270058e-113 3.389724704354767532e-62 8.751438615331716323e-31 2.053024449056758070e-10 5.411708220963551419e-01
2.140703517587939420e+00 4.213589811889155823e-115 1.725673636207291259e-63 1.468689129221721372e-31 8.913889955047353012e-11 5.269580559516930940e-01
2.155778894472361706e+00 3.681025861670902827e-117 8.514698807095418875e-65 2.408821751038208282e-32 3.809563268142360316e-11 5.130735873517563439e-01
2.170854271356783993e+00 3.082201572708410039e-119 4.071873720391349342e-66 3.861013651982024646e-33 1.602550625757796709e-11 4.995052520587160982e-01
2.185929648241205836e+00 2.473595678445069608e-121 1.887260184473978447e-67 6.048079096583058071e-34 6.635461066961239386e-12 4.862402221503527855e-01
2.201005025125628123e+00 1.902706718706383969e-123 8.477735952122472418e-69 9.258713117059349339e-35 2.704254842436995456e-12 4.732649351259776149e-01
2.216080402010049966e+00 1.402782735820567092e-125 3.690939045629558966e-70 1.385155233423235787e-35 1.084765610498860593e-12 4.605650311418446607e-01
2.231155778894472252e+00 9.912526447607314256e-128 1.557403214107390040e-71 2.025156356799994922e-36 4.282829866371359413e-13 4.481253029614413186e-01
2.246231155778894539e+00 6.713572128058285112e-130 6.368994468891714206e-73 2.893534249932893620e-37 1.664283877922082478e-13 4.359296637337627400e-01
2.261306532663316382e+00 4.358110956535891064e-132 2.524322095459266735e-74 4.040232311598554509e-38 6.365329721716399619e-14 4.239611380996615164e-01
2.276381909547738669e+00 2.711553665538441141e-134 9.696640864667159441e-76 5.513017883418700350e-39 2.396109995142895408e-14 4.122018823156093914e-01
2.291457286432160512e+00 1.617012579039727155e-136 3.609932839906492927e-77 7.351493097766804290e-40 8.877292965770100010e-15 4.006332390189941695e-01
2.306532663316582799e+00 9.242380501062297023e-139 1.302497489408673637e-78 9.579934841415552281e-41 3.236965617368023393e-15 3.892358318871845801e-01
2.321608040201005085e+00 5.063251754316866804e-141 4.554632980797116012e-80 1.219967301350121660e-41 1.161649974714656840e-15 3.779897047211127070e-01
2.336683417085426928e+00 2.658584168039352118e-143 1.543573872521871725e-81 1.518204485702023361e-42 4.102874579324687548e-16 3.668745083842944732e-01
2.351758793969849215e+00 1.337970399267267960e-145 5.069882262315238138e-83 1.846318542562172068e-43 1.426176176992287674e-16 3.558697375406938423e-01
2.366834170854271058e+00 6.453833861597486645e-148 1.613851955128018591e-84 2.194194576768138636e-44 4.878951070270500117e-17 3.449550172738758413e-01
2.381909547738693345e+00 2.983762349116608749e-150 4.978790736004836235e-86 2.548200985822919023e-45 1.642648315316863090e-17 3.341104374768161800e-01
2.396984924623115631e+00 1.322165553997676773e-152 1.488598117903636086e-87 2.891879396284567946e-46 5.442822704748446423e-18 3.233169304468772043e-01
2.412060301507537474e+00 5.615424572580169787e-155 4.313438141766139666e-89 3.207100569477230758e-47 1.774851357797515293e-18 3.125566845027610841e-01
2.427135678391959761e+00 2.285885640246249305e-157 1.211326872336360130e-90 3.475592595880857629e-48 5.695801463895260784e-19 3.018135837852489733e-01
2.442211055276381604e+00 8.918699561403462436e-160 3.296780239669225936e-92 3.680671339949556351e-49 1.798869736634503211e-19 2.910736618580810897e-01
2.457286432160803891e+00 3.335213927299091977e-162 8.695784325477656230e-94 3.808948913106309978e-50 5.591053772506401919e-20 2.803255544505596220e-01
2.472361809045226178e+00 1.195421264422092146e-164 2.222884638419850289e-95 3.851778111663418631e-51 1.710148671780687528e-20 2.695609348452676635e-01
2.487437185929648020e+00 4.106703726748963407e-167 5.506984105790723139e-97 3.806216470874267562e-52 5.147751444367191636e-21 2.587749141721060742e-01
2.502512562814070307e+00 1.352199829540810060e-169 1.322205088999958006e-98 3.675360613867127274e-53 1.524902668809769306e-21 2.479663883647834632e-01
2.517587939698492150e+00 4.267401307426322673e-172 3.076602122682008332e-100 3.467998111616228656e-54 4.445339879210528829e-22 2.371383138784392552e-01
2.532663316582914437e+00 1.290806654145001224e-174 6.937944129379720246e-102 3.197631240270579271e-55 1.275274374187386652e-22 2.262978955261637504e-01
2.547738693467336724e+00 3.742260383476892382e-177 1.516270511583323459e-103 2.881023349935512795e-56 3.600275308896142414e-23 2.154566719859959678e-01
2.562814070351758566e+00 1.039876831880340493e-179 3.211504356824597238e-105 2.536485191421773036e-57 1.000227730317802042e-23 2.046304876198032086e-01
2.577889447236180853e+00 2.769522473469886429e-182 6.592130807945959978e-107 2.182143730440564685e-58 2.734581844556373215e-24 1.938393431334270722e-01
2.592964824120602696e+00 7.069732365408658672e-185 1.311378801620690821e-108 1.834417542277727661e-59 7.357150625566908255e-25 1.831071221384236447e-01
2.608040201005024983e+00 1.729721323051327593e-187 2.528221601118237574e-110 1.506868125834298865e-60 1.947838540680194773e-25 1.724611956435886384e-01
2.623115577889447270e+00 4.056246966739831319e-190 4.723744209025701071e-112 1.209519665492956213e-61 5.074798634254871432e-26 1.619319116631339206e-01
2.638190954773869112e+00 9.116911145163798585e-193 8.553453689627037015e-114 9.486581029039932362e-63 1.301083767149784823e-26 1.515519822058770394e-01
2.653266331658291399e+00 1.964021039714167433e-195 1.500998342960015316e-115 7.270497133004059870e-64 3.282542683819374263e-27 1.413557846256789374e-01
2.668341708542713242e+00 4.055268641273114898e-198 2.552714088318649701e-117 5.444708500744443780e-65 8.149525832116286619e-28 1.313785983970629789e-01
2.683417085427135529e+00 8.025427971517092045e-201 4.207335119802899147e-119 3.984188471614221579e-66 1.990991237999610275e-28 1.216558015896593986e-01
2.698492462311557816e+00 1.522270568029345324e-203 6.720393960212739867e-121 2.848776935547753893e-67 4.786517789905004989e-29 1.122220534549403792e-01
2.713567839195979658e+00 2.767518780154259409e-206 1.040314865888493048e-122 1.990347899072434119e-68 1.132352524146850571e-29 1.031104904728460947e-01
2.728643216080401945e+00 4.822412743989115412e-209 1.560691571572738299e-124 1.358783340826496901e-69 2.636050058997444792e-30 9.435196286906422092e-02
2.743718592964823788e+00 8.054030224011232264e-212 2.269088082277337317e-126 9.064019409007278964e-71 6.038570072590060836e-31 8.597433701611277568e-02
2.758793969849246075e+00 1.289250196107871486e-214 3.197182370526874116e-128 5.907987894114471818e-72 1.361198631215532385e-31 7.800188635853382013e-02
2.773869346733668362e+00 1.978045289877626178e-217 4.365812289996660600e-130 3.762749635288399659e-73 3.019356278551496276e-32 7.045478970953969466e-02
2.788944723618090205e+00 2.908776342963513084e-220 5.777555505379356977e-132 2.341622263984407477e-74 6.590392194771922784e-33 6.334875116716807975e-02
2.804020100502512491e+00 4.099770071494848945e-223 7.409765216431344132e-134 1.423878776465221280e-75 1.415503080156380557e-33 5.669475075016660454e-02
2.819095477386934334e+00 5.538392680547330664e-226 9.209708168621883291e-136 8.460046744516331360e-77 2.991656326261615105e-34 5.049892944123372807e-02
2.834170854271356621e+00 7.171055121988801145e-229 1.109349135174120939e-137 4.911509830493096770e-78 6.221750835117190108e-35 4.476260693859113182e-02
2.849246231155778908e+00 8.899332820743011261e-232 1.295005034557574546e-139 2.786113195235603679e-79 1.273245958118768746e-35 3.948242533464962900e-02
2.864321608040200751e+00 1.058539110774122294e-234 1.465059860518197262e-141 1.544269131784650644e-80 2.563950066849760544e-36 3.465060741143236728e-02
2.879396984924623037e+00 1.206789270895412002e-237 1.606274907151510259e-143 8.363474946892620815e-82 5.080462042974114471e-37 3.025531447079753480e-02
